구분,번호,항목,책임권한,,,,이사회,관련사항,,비고
,,,팀장,실장,대표이사,회장,,관련부서,구분*,
Ⅰ. 경영전략,1,M&A사업 추진,,,,,,,,
,1. 1,인수전략 수립,,,,,,,,
,1. 1. 1,예상 시나리오 검토,,,●,보고,,,,
,1. 1. 2,시나리오별 전략 및 Action-Plan 수립,,,●,보고,,,,
,1. 1. 3,인수계획 수립,,,●,보고,,,,
,1. 2,인수추진,,,,,,,,
,1. 2. 1,인수추진 계획 수립,,,●,보고,,,,
,1. 2. 2,M&A 전문 컨설팅사 용역계약,,,●,,,,,
,1. 2. 3,인수조건 확정,,,●,,,,,
,1. 2. 4,MOU계약 체결,,,●,,,,,
,1. 2. 5,실사업체 선정,,,●,,,,,
,1. 2. 6,가치평가,,,●,,,,,
,1. 2. 7,인수추진 중간 보고,,,●,보고,,,,
,1. 2. 8,채무조정안 확정,,,●,,,,,
,1. 2. 9,거래구조 확정,,,●,,,,,
,1. 2. 10,Financing방안,,,●,,,,,
,1. 2. 11,계약조건 협상,,,●,,,,,
,1. 2. 12,인수추진 최종 보고,,,●,보고,,,,
,1. 2. 13,계약조건 확정,,,●,,,,,
,2,중기 경영계획,,,,,,,,
,2. 1,중기경영계획 수립 계획,,,●,보고,,,,
,2. 2,중기경영계획 수립 결과보고,,,●,보고,,,,
,3,중장기 신규사업,,,,,,,,
,3. 1,신규사업 검토,,,,,,,,
,3. 1. 1,신규사업 예비조사,,●,,,,,,
,3. 1. 2,신규사업 추진검토 승인,,,●,보고,,,,
,3. 1. 3,인원 및 조직구성,,,●,보고,,인사기획팀,합의,
,3. 1. 4,신규사업 상세조사,,●,,,,,,
,3. 1. 5,컨설팅업체 용역 계약,,,,,,,,
,3. 1. 5. 1,100만원 이하,●,,,,,,,
,3. 1. 5. 2,"1,000만원 이하",,●,,,,,,
,3. 1. 5. 3,"1,000만원 초과",,,●,보고,,,,
,3. 2,신규사업 추진,,,,,,,,
,3. 2. 1,투자심의위원회 개최,,●,,,,,,
,3. 2. 2,대표이사 최종승인,,,●,보고,,,,
,3. 2. 3,신규사업 진행관리,,,●,보고,,,,
,4,대외 업무,,,,,,,,
