구분,번호,항목,책임권한,,,,이사회,관련사항,,비고
,,,팀장,실장,대표이사,회장,,관련부서,구분*,
Ⅰ. 내부회계,1,내부회계 설계 및 운영,,,,,,,,
,1. 1,내부회계 관리규정 제정 및 개정,,,●,,●,,,주1
,1. 2,내부회계관리제도 운영실태 점검,,●,,,,,,
,2,내부회계 평가 및 보고,,,,,,,,
,2. 1,내부회계관리제도 운영실태 보고,,,●,,●,,,
,2. 2,내부회계관리제도 미비점 평가 및 사후관리,,●,,,,,,
,,,,,,,,,,
주1),상근감사 승인 필요,,,,,,,,,
,,,,,,,,,,
*책임권한의 규제,,,,,,,,,,
"- 합의 : 관련부서와 사전에 의견 일치를 거쳐 업무를 진행하는 절차를 말하며,
 합의된 내용 및 그 결과에 대하여는 합의에 참여한 부서가 공동으로 책임을 진다.
 다만, 합의에 이르지 못한 경우에는 차상위자의 결정 또는 관련 회의를 통해 조정·결정한다.",,,,,,,,,,
"- 협의 : 관련부서의 협조 또는 전문적 의견이 필요한 경우 실시하는 절차로서,
 협의 결과를 반영하여 업무를 진행하되,
 업무의 최종 결정 및 결과에 대한 책임은 전결권자에게 있으며,
 협의부서는 제공한 의견의 범위 내에서 부분적인 책임을 진다.",,,,,,,,,,
"- 통보 : 관련부서에 사전 또는 사후에 해당 사항을 알려 정보 공유를 하는 절차를 말하며, 통보된 내용 중 법령, 사규 위반 등 책임과 관련되는 사항에 대하여는
 통보 여부와 관계없이 해당 업무의 전결권자 또는 결정권자가 그 책임을 진다.",,,,,,,,,,
