구분,번호,항목,책임권한,,,,이사회,관련사항,,비고
,,,팀장,실장,대표이사,회장,,관련부서,구분*,
Ⅰ. 인사,1,조직개편 및 팀 업무조정,,,●,보고,,,,
,2,채용,,,,,,,,
,2. 1,신입 및 경력사원 채용 계획 및 결과보고,,,●,보고,,,,
,2. 2,파견 및 계약사원 채용 계획 및 결과보고,,,●,,,,,
,3,승진 계획 및 결과보고,,,●,보고,,,,
,4,배치 (사원의 배치),,,●,,,,,주1
,5,"파견, 휴직, 복직, 퇴사",,,●,,,,,
,6,교육,,,,,,,,
,6. 1,연간 교육계획 및 실적보고,,,●,,,,,
,6. 2,집합교육,,,,,,,,
,6. 2. 1,교육과정별 기획안 보고,●,,,,,,,
,6. 2. 2,교육과정별 결과보고,●,,,,,,,
,6. 2. 3,교육과정별 교육비 집행,●,,,,,,,
,6. 2. 4,계열사 교육비 청구,●,,,,,,,
,6. 3,원격교육,,,,,,,,
,6. 3. 1,연간 운영계획 보고(전자도서관),●,,,,,,,
,6. 3. 2,위탁운영 계약,,,●,,,,,
,6. 3. 3,전자도서 구매,●,,,,,,,
,6. 4,교육비 집행 및 일반 행정업무,●,,,,,,,
,7,포상 및 징계,,,●,,,,,
,8,임금 및 퇴직금,,,,,,,,
,8. 1,임금인상 및 개인별 임금 조정,,,●,보고,,,,
,8. 2,월별임금지표 총괄표,,,●,,,,,
,8. 3,특별상여 및 성과급 지급,,,●,보고,,,,
,8. 4,퇴직금 및 퇴직금 중도정산 품의,●,,,,,,,
,9,후인원 관리,,,,,,,,
,9. 1,용역 및 시설 관련 계약,,,,,,,,
,9. 1. 1,연수원 시설관리 용역 계약,●,,,,,,,
,9. 1. 2,구내식당 위탁운영 계약,●,,,,,,,
,9. 1. 3,기타 용역 및 시설 관련 계약,●,,,,,,,
,9. 2,긴급자재구매,,,,,,,,
,9. 2. 1,100만원 이하,●,,,,,,,
,9. 2. 2,"1,000만원 이하",,●,,,,,,주2
,9. 2. 3,"1,000만원 초과",,,●,,,,,
,9. 3,용역 수수료 집행,●,,,,,,,
,9. 3. 1,월별 연수원 시설관리 용역비,,●,,,,,,주2
,9. 3. 2,월별 구내식당 식대,,●,,,,,,주2
,9. 3. 3,기타 용역비,●,,,,,,,
,10,후인원 대관료 할인,●,,,,,,,
,,,,,,,,,,
주1),TF조직 운영기간 중 일부인원 겸직 및 겸직 해제는 인사기획팀장 전결,,,,,,,,,
주2),전략실장 전결,,,,,,,,,
,,,,,,,,,,
*책임권한의 규제,,,,,,,,,,
"- 합의 : 관련부서와 사전에 의견 일치를 거쳐 업무를 진행하는 절차를 말하며,
 합의된 내용 및 그 결과에 대하여는 합의에 참여한 부서가 공동으로 책임을 진다.
 다만, 합의에 이르지 못한 경우에는 차상위자의 결정 또는 관련 회의를 통해 조정·결정한다.",,,,,,,,,,
"- 협의 : 관련부서의 협조 또는 전문적 의견이 필요한 경우 실시하는 절차로서,
 협의 결과를 반영하여 업무를 진행하되,
 업무의 최종 결정 및 결과에 대한 책임은 전결권자에게 있으며,
 협의부서는 제공한 의견의 범위 내에서 부분적인 책임을 진다.",,,,,,,,,,
"- 통보 : 관련부서에 사전 또는 사후에 해당 사항을 알려 정보 공유를 하는 절차를 말하며, 통보된 내용 중 법령, 사규 위반 등 책임과 관련되는 사항에 대하여는
 통보 여부와 관계없이 해당 업무의 전결권자 또는 결정권자가 그 책임을 진다.",,,,,,,,,,
