구분,번호,항목,책임권한,,,,이사회,관련사항,,비고
,,,팀장,실장,대표이사,회장,,관련부서,구분*,
Ⅰ. 재무,1,자금수지,,,,,,,,
,1. 1,자금일보,●,,,,,,,
,1. 2,분기 자금수지계획,,,●,,,,,
,1. 3,연간 자금수지계획,,,●,,,,,
,2,자금조달,,,,,,,,주1
,2. 1,신규차입/신규한도/한도의 증액,,,●,보고,●,,,
,2. 2,차입조건/금리 등의 변동,,,●,보고,,,,
,2. 3,한도 내 차입/상환/만기 연장,,,●,보고,●,,,
,2. 4,차입관련 고정자산(부동산 등) 등의 담보제공,,,●,보고,●,,,
,2. 5,차입관련 유동자산 등의 담보제공,,,●,보고,●,,,
,2. 6,유가증권( 회사채 등) 등의 발행을 통한 자금의 조달,,,●,보고,●,,,
,2. 7,자산 매각을 통한 자금의 조달,,,●,보고,●,,,
,3,자금운용,,,,,,,,
,3. 1,자금지급 및 운용 기준의 설정/변경,,●,,,,,,
,3. 2,일 자금 수지의 집행 및 관리,●,,,,,,,
,3. 3,각 은행계좌의 운용 및 관리,●,,,,,,,
,3. 4,가용자금의 장단기 운용,●,,,,,,,
,3. 5,"유가증권 실물 관리 (수표, 어음, 증권 등)",●,,,,,,,
,3. 6,법인카드 발급 및 관리,●,,,,,,,
,4,외환업무,,,,,,,,
,4. 1,파생상품거래,,●,,,,,,
,4. 2,경상거래/자본거래의 결재 (수반된 현물거래 포함),●,,,,,,,
,4. 3,외화예금 등의 운용,●,,,,,,,
,5,통제성경비 관리,,,,,,,,
,5. 1,예산 편성(연간 사업계획),,,●,,,,,
,5. 2,예산증액 검토,,●,,,,,,주2
,5. 3,실적 보고/공지,●,,●,,,,,주3
,6,해외법인 운영지원(본사지급보증),,,,,,,,
,6. 1,해외법인 여신현황 관리,,●,,,,,,
,6. 2,지급보증 품의/진행,,,●,보고,●,,,
Ⅱ. 회계,1,"금융감독원 공시업무 (정기, 수시, 공정공시)",,,,,,,,
,1. 1,정기공시,,●,,,,,,
,1. 2,"수시공시,지분공시,공정공시",,●,,,,,,
,2,공정위 공시업무,,,,,,,,
,2. 1,분기별 공시,,,,,,,,
,2. 1. 1,대규모 기업집단 현황 공시,,●,,,,,,
,2. 1. 2,"동일인 및 출자계열회사와의 상품, 용역거래",,●,,,,,,
,2. 1. 3,비상장사 수시공시 지원,●,,,,,,,
,2. 2,신고업무,,,,,,,,
,2. 2. 1,기업집단 지정자료 제출,,●,,,,,,
,2. 2. 2,주식소유현황 및 채무보증현황,,●,,,,,,
,3,회계업무,,,,,,,,
,3. 1,월차/분기손익보고,,,●,보고,,,,
,3. 2,공표손익(안)의 보고,,,●,,,,,
,3. 3,결산재무재표의 확정 (잉여금 처분안 포함),,,●,,,,,
,3. 4,기업회계기준의 설정 및 변경,,,●,,,,,
,3. 5,본지점 이체전표,●,,,,,,,
,3. 6,회계처리 수정사항,●,,,,,,,
,3. 7,계정잔고 명세,●,,,,,,,
,3. 8,본지점간 자료요청,●,,,,,,,
,3. 9,"회계장부의 관리, 보관유지",●,,,,,,,
,4,원가업무,,,,,,,,
,4. 1,제품별 원가계산 및 총원가 자료,●,,,,,,,
,4. 2,원가관련 전표 확인,●,,,,,,,
,4. 3,기타 수시작성 원가자료,●,,,,,,,
,5,기타업무,,,,,,,,
,5. 1,주식관련 각종자료 제출 및 보고자료,,,●,,,,,
,5. 2,결산서 대외제출,●,,,,,,,
,5. 3,외부감사인 선임,,,●,보고,,,,
,5. 4,정기주주총회 부의안건(결산 이사회),,,●,보고,●,,,
Ⅲ. 세무,1,법인세,,,,,,,,
,1. 1,주요 세무 이슈 점검 및 대응방안 수립,●,,,,,,,
,1. 1. 1,중요사안 또는 과세표준 10억 초과,,●,,,,,,
,1. 1. 2,일반사안 또는 과세표준 10억 이하,●,,,,,,,
,1. 2,법인세 세무조정 및 세액공제,●,,,,,,,
,1. 3,법인세 신고서(세무조정계산서) 작성,●,,,,,,,
,1. 4,법인세 신고,,,●,,,,,
,2,2. 부가가치세,,,,,,,,
,2. 1,부가가치세 세무 이슈 점검 및 대응방안 수립,●,,,,,,,
,2. 1. 1,중요사안 또는 부가세 세액 1억 초과,,●,,,,,,
,2. 1. 2,일반사안 또는 부가세 세액 1억 이하,●,,,,,,,
,2. 2,부가가치세 대손세액공제,,●,,,,,,
,2. 3,부가가치세 신고,,●,,,,,,
,3,원천세,,,,,,,,
,3. 1,원천세 세무 이슈 점검 및 대응방안 수립,●,,,,,인사기획팀,협의,
,3. 1. 1,중요사안 또는 원천세 세액 1억 초과,,●,,,,,,
,3. 1. 2,일반사안 또는 원천세 세액 1억 이하,●,,,,,,,
,3. 2,"(본사, 연수원) 원천세 신고 (지급명세서 포함)",●,,,,,인사기획팀,협의,
,4,국제조세,,,,,,,,
,4. 1,APA (이전가격 사전 합의 제도),,,,,,전략팀,통보,
,4. 1. 1,APA 갱신 및 신규체결,,,●,,,,,
,4. 1. 2,연례보고서 제출,,,●,,,,,
,4. 2,BEPS 문서화 및 신고 (세원잠식 및 소득이전),●,,,,,,,
,5,글로벌최저한세,,,,,,,,
,5. 1,글로벌최저한세 관련 세무검토 및 외부전문가 위임,●,,,,,,,
,5. 2,글로벌최저한세 대응 및 신고·검토업무 추진,●,,,,,,,
,5. 3,글로벌 최저한세 신고서 제출,,●,,,,,,
,6,기타,,,,,,,,
,6. 1,세무조사 결과보고,,,●,보고,,,,
,6. 2,증권거래세 신고,●,,,,,,,
,6. 3,"결산전표 회계처리 (법인세, 부가가치세 등)",●,,,,,,,
,,,,,,,,,,
주1),"이사회 결의 필요시, 대표이사 결재를 득하며, 이외의 경우에는 실장 전결로 처리함",,,,,,,,,
주2),증액품의시 검토 후 승인,,,,,,,,,
주3),대표이사는 분기단위,,,,,,,,,
,,,,,,,,,,
*책임권한의 규제,,,,,,,,,,
"- 합의 : 관련부서와 사전에 의견 일치를 거쳐 업무를 진행하는 절차를 말하며,
 합의된 내용 및 그 결과에 대하여는 합의에 참여한 부서가 공동으로 책임을 진다.
 다만, 합의에 이르지 못한 경우에는 차상위자의 결정 또는 관련 회의를 통해 조정·결정한다.",,,,,,,,,,
"- 협의 : 관련부서의 협조 또는 전문적 의견이 필요한 경우 실시하는 절차로서,
 협의 결과를 반영하여 업무를 진행하되,
 업무의 최종 결정 및 결과에 대한 책임은 전결권자에게 있으며,
 협의부서는 제공한 의견의 범위 내에서 부분적인 책임을 진다.",,,,,,,,,,
"- 통보 : 관련부서에 사전 또는 사후에 해당 사항을 알려 정보 공유를 하는 절차를 말하며, 통보된 내용 중 법령, 사규 위반 등 책임과 관련되는 사항에 대하여는
 통보 여부와 관계없이 해당 업무의 전결권자 또는 결정권자가 그 책임을 진다.",,,,,,,,,,
