구분,번호,항목,책임권한,,,,이사회,관련사항,,비고
,,,팀장,실장,대표이사,회장,,관련부서,구분*,
Ⅰ. 홍보,1,홍보업무 기획 및 수립,,,●,보고,,,,
,2,언론 홍보,,,,,,,,
,2. 1,상시적 보도자료(실적공시 외)의 배포,●,,,,,,,
,2. 2,전략적 보도 기획 및 자료의 배포,,●,,,,,,
,3,광고의 진행 및 제작,,,,,,,,
,3. 1,광고 기획 및 제작,,●,,,,,,
,3. 2,광고 진행,,,,,,,,
,3. 2. 1,100만원 이하,●,,,,,,,
,3. 2. 2,"1,000만원 이하",,●,,,,,,
,3. 2. 3,"1,000만원 초과",,,●,,,,,
,4,SNS 제작 및 운영,,,,,,,,
,4. 1,SNS 운영 기획 및 운영,,,,,,,,
,4. 1. 1,300만원 이하,●,,,,,,,
,4. 1. 2,300만원 초과,,●,,,,,,
,4. 1. 3,그룹 SNS 운영 기획(연간),,,●,,,,,
,4. 2,"기획 방향, 내용수정 등의 경미한 변동",●,,,,,,,
,4. 3,시스템 변경 등 중대한 변동사항,,●,,,,,,
,5,홈페이지 운영,,,,,,,,
,5. 1,홈페이지 개편(리뉴얼) 및 신규제작 기획,,,●,,,,,
,5. 2,홈페이지 운영 및 유지보수,,●,,,,,,
,6,사회공헌 활동,,,,,,,,
,6. 1,그룹 사회공헌 활동 기획 및 운영,,,●,,,,,
,6. 2,기부금 규모 500만원 이하,,●,,,,,,
,6. 3,기부금 규모 500만원 초과,,,●,,,,,
,7,인쇄물 및 영상물 제작,,,,,,,,
,7. 1,영상물 제작,,,,,,,,
,7. 1. 1,300만원 이하,●,,,,,,,
,7. 1. 2,300만원 초과,,●,,,,,,
,7. 1. 3,그룹 홍보영상 기획 및 제작,,,●,,,,,
,7. 2,인쇄물 제작,,,,,,,,
,7. 2. 1,100만원 이하,●,,,,,,,
,7. 2. 2,100만원 초과,,●,,,,,,
,7. 2. 3,그룹 홍보 인쇄물 기획 및 제작,,,●,,,,,
,7. 3,유지보수성 홍보제작물 (현업요청 등),●,,,,,,,
,8,CI 제작 및 관리,,,,,,,,
,8. 1,신규제작,,,●,보고,,,,
,8. 2,리뉴얼,,●,,,,,,
,8. 3,유지 및 관리,,●,,,,,,
,9,사사 자료관리,,,,,,,,
,9. 1,사사 기록물 제작 기획 및 집행,,●,,,,,,
,9. 2,사사 기록 유지 및 관리,●,,,,,,,
,9. 3,사진 촬영 및 인화,,,,,,,,
,9. 3. 1,100만원 이하,●,,,,,,,
,9. 3. 2,"1,000만원 이하",,●,,,,,,
,9. 3. 3,"1,000만원 초과",,,●,,,,,
,10,CEO 스피치 작성,,●,,,,,,
Ⅱ. 지원,1,총무,,,,,,,,
,1. 1,행사계획 및 실시,,,,,,,,
,1. 1. 1,전사차원 행사,,,●,보고,,,,
,1. 1. 2,기타 중요한 행사,,●,,,,,,
,1. 1. 3,경미한 행사,●,,,,,,,
,1. 1. 4,내방객 영접 행사,,●,,,,,,
,1. 2,제세공과금 및 세금납부,,,,,,,,
,1. 2. 1,300만원 이하,●,,,,,,,
,1. 2. 2,"1,000만원 이하",,●,,,,,,
,1. 2. 3,"1,000만원 초과",,,●,,,,,
,1. 3,사무관리 개선 연구 검토에 관한 업무,,●,,,,,,
,2,"소모품 구매요청 (소모품, 집기비품, 사무용품, 용도품)",,,,,,,,
,2. 1,300만원 이하,●,,,,,,,주1
,2. 2,"1,000만원 이하",,●,,,,,,주2
,2. 3,"1,000만원 초과",,,●,,,,,
,2. 4,"도서구입, 유인물 인쇄",●,,,,,,,
,3,지급수수료(용역 및 서비스),,,,,,,,
,3. 1,300만원 이하,●,,,,,,,
,3. 2,"1,000만원 이하",,●,,,,,,주2
,3. 3,"1,000만원 초과",,,●,,,,,
,4,차량관리,,,,,,,,
,4. 1,차량구입 및 매각 (리스 및 렌탈 포함),,,,,,,,
,4. 1. 1,임원용 차량구입 (리스 및 렌탈 포함),,,●,보고,,,,
,4. 1. 2,임원용 차량 매각,,●,,,,,,
,4. 1. 3,영업/업무용 차량구입 및 매각 (리스 및 렌탈 포함),,●,,,,,,
,4. 1. 4,리스 및 렌탈 계약 연장,,●,,,,,,
,4. 2,유류비 지급,●,,,,,,,
,4. 3,자동차 검사,●,,,,,,,
,4. 4,부품구입 및 수리,●,,,,,,,
,4. 5,차량일지 점검,●,,,,,,,
,4. 6,차량지급기준 설정,●,,,,,,,
,4. 7,차량배차(노선버스 노선사항 포함),●,,,,,,,
,4. 8,차량배차기준 설정,●,,,,,,,
,4. 9,차량 보험,●,,,,,,,
,4. 10,월리스료 및 렌트료 납부,●,,,,,,,
,5,각종 기념품과 용도품구매 및 관리,,,,,,,,
,5. 1,기념품 선정 및 구입품의,,●,,,,,,
,5. 2,집기비품 유지관리,●,,,,,,,
,6,문서 및 도서관리,,,,,,,,
,6. 1,장표서식의 제ㆍ개정 및 폐기,●,,,,,주관부서,협의,
,6. 2,"문서보관, 이관, 폐기",●,,,,,,,
,6. 3,사용인감 및 법인서류 관리,●,,,,,,,
,7,용역업체,,,,,,,,
,7. 1,업체변경,,●,,,,,,
,7. 2,계약변경 및 품의,,●,,,,,,
,7. 3,인력수급계획,,●,,,,,,
,7. 4,경비지급 품의 및 보고,,●,,,,,,
,8,소방관리,,,,,,,,
,8. 1,소방시설 및 장비운영,●,,,,,,,
,8. 2,방화진단 및 대외허가관리,,●,,,,,,
,8. 3,화재사고 조사처리,,●,,,,,,
,9,"설비, 건축물, 부동산의 취득 및 처분유지관리",,,,,,재경팀,협의,
,9. 1,취득처분 품의 (신축포함),,,●,보고,●,,,
,9. 2,"신축, 증축시 기성품의",,●,,,,,,
,9. 3,손망실 처리승인,,●,,,,,,
,9. 4,매매대금 지불 및 수령,,●,,,,,,
,9. 5,고정자산의 담보제공,,,●,보고,,,,
,9. 6,등기이전 및 공과금 납부,,,,,,,,
,9. 6. 1,300만원 이하,●,,,,,,,
,9. 6. 2,"1,000만원 이하",,●,,,,,,
,9. 6. 3,"1,000만원 초과",,,●,,,,,
,9. 7,임대차 계약 및 관리,,●,,,,재경팀,협의,주3
,10,기타자산관리,,,,,,재경팀,협의,
,10. 1,취득 및 매각,,,●,보고,,,,
,10. 2,기타대금 수수 및 제비용 납부,,,,,,,,
,10. 2. 1,300만원 이하,●,,,,,,,
,10. 2. 2,"1,000만원 이하",,●,,,,,,
,10. 2. 3,"1,000만원 초과",,,●,,,,,
,11,보험업무,,,,,,,,
,11. 1,보험가입 및 갱신 품의,,,,,,,,
,11. 1. 1,300만원 이하,●,,,,,,,
,11. 1. 2,"1,000만원 이하",,●,,,,,,
,11. 1. 3,"1,000만원 초과",,,●,,,,,
,11. 2,보험료 납부,●,,,,,,,
,11. 3,보험금 청구 및 수령,,●,,,,,,
,12,주주총회,,,,,,,,
,12. 1,총회개최 일자 및 안건,,,●,보고,●,,,
,12. 2,장소선정,●,,,,,,,
,12. 3,소집통지서 발송,●,,,,,,,
,12. 4,유인물 제작,●,,,,,,,
,12. 5,성원관계 업무,●,,,,,,,
,12. 6,총회진행,●,,,,,,,
,13,이사회,,,,,,,,
,13. 1,개최 품의,,,●,보고,,,,
,13. 2,의사록,●,,,,,,,
,14,법인등기 유지관리,,,●,보고,,,,
,15,주식,,,,,,,,
,15. 1,우리사주 조합관리,●,,,,,,,
,15. 2,증권대행 및 전자투표 수수료,,,,,,,,
,15. 2. 1,300만원 이하,●,,,,,,,
,15. 2. 2,"1,000만원 이하",,●,,,,,,
,15. 2. 3,"1,000만원 이상",,,●,,,,,
,16,"출장, 이전관리",,,,,,,,
,16.1,여권 및 비자 발급비 지급,●,,,,,,,
,16. 2,이전비 지급,,,,,,,,
,16. 2. 1,국내 이전비,●,,,,,,,
,16. 2. 2,국외 이전비,,●,,,,,,
,17,사규관리,,,,,,,,
,17. 1,사규의 경미한 개정,●,,,,,커뮤니케이션/인사기획팀,협의,
,17. 2,사규의 일반적인 제ㆍ개정,,,●,,●,규정심의위원회,심사,
,18,공사관리(수선 및 물품구매 관련),,,,,,,,
,18. 1,300만원 이하,●,,,,,,,
,18. 2,"1,000만원 이하",,●,,,,,,
,18. 3,"1,000만원 초과",,,●,,,,,
