번호,항목,책임권한,,,,이사회,관련사항,,비고
,,팀장,실장,대표이사,회장,,관련부서,구분*,
1,업무계획(예산) 수립 및 집행실적 분석,,,●,,,,,
2,업무 개선 및 효율 향상,●,,,,,,,
3,부서간 업무 협의 및 조정,●,,,,,,,
4,부서 내 직원 업무 분장,●,,,,,인사기획팀,통보,
5,부서별 담당 업무 관련 규정 입안 및 개정 신청,,●,,,,커뮤니케이션팀,협의,
6,대외기관 보고·면담 및 조회용 서류 작성·제출,,●,,,,주관부서,협의,
7,부서 관리 자산 및 소모품의 사용·관리,●,,,,,커뮤니케이션팀,협의,
8,부서 내 업무 정정 및 건의사항 처리,●,,,,,,,
9,부서 직원 사외 교육 및 세미나 참석 요청,●,,,,,인사기획팀,협의,
10,지출전표/품의,,,,,,재경팀,통보,주1
10. 1,"업무잡비(음료대, 교통비 외)(건당)",,,,,,,,
10. 1. 1,10만원 이하,●,,,,,,,
10. 1. 2,"1,000만원 이하",,●,,,,,,주2
10. 1. 3,"1,000만원 초과",,,●,,,,,
10. 2,"식대(생산독려, 업무상), 기업업무추진비",,,,,,,,
10. 2. 1,50만원 이하,●,,,,,,,
10. 2. 2,150만원 이하,,●,,,,,,주2
10. 2. 3,150만원 초과,,,●,,,,,
10. 3,기타 업무상 발생하는 공식비용 (공공요금),,,,,,,,
10. 3. 1,100만원 이하,●,,,,,,,
10. 3. 2,"1,000만원 이하",,●,,,,,,주2
10. 3. 2,"1,000만원 초과",,,●,,,,,
10. 4,용역수수료,,,,,,,,
10. 4. 1,"1,000만원 이하",,●,,,,,,주2
10. 4. 2,"1,000만원 초과",,,●,,,,,
11,소속사원의 근태관리,●,,,,,인사기획팀,통보,
12,직원 근태 품의,,,,,,,,주1
12. 1,휴가 품의,,,,,,인사기획팀,통보,
12. 1. 1,임원 휴가시,,,●,,,,,
12. 1. 2,팀장 휴가시,,●,,,,,,주2
12. 1. 3,팀원 휴가시,●,,,,,,,
12. 2,출장 품의 (국내·국외),,,,,,커뮤니케이션팀,협의,
12. 2. 1,임원 출장시,,,●,,,,,
12. 2. 2,팀장 출장시,,,●,,,,,
12. 2. 3,팀원 출장시,,●,,,,,,주2
12. 3,출장 복명 (국내·국외),,,,,,커뮤니케이션팀,협의,주3
12. 3. 1,복명 (금액 변동시) – 임원,,,●,,,,,
12. 3. 2,복명 (금액 변동시) – 팀장,,●,,,,,,주2
12. 3. 3,복명 (금액 변동시) – 팀원,,●,,,,,,주2
12. 3. 4,복명 (금액 불변시) – 임원,,,●,,,,,
12. 3. 5,복명 (금액 불변시) – 팀장,,●,,,,,,주2
12. 3. 6,복명 (금액 불변시) – 팀원,●,,,,,,,
